INFO:root:Runs with args: ()
INFO:root:Runs with args: ()
INFO:root:Runs with args: ()
INFO:root:Runs with args: ()
INFO:root:Runs with args: ()
INFO:root:Runs with args: ('HK', '27', 'SWE')
INFO:root:Runs with args: ('HK', '27', 'SWE')
INFO:root:Runs with args: ('HK', '27', 'SWE')
INFO:root:Runs with args: ('HK', '27', 'SWE')
INFO:root:Runs with args: ('HK', '27', 'SWE')
INFO:root:Runs with args: ('HK', '27', 'SWE')
INFO:root:Runs with args: ('HK', '27', 'SWE')
INFO:root:Runs with args: ('AKK', '27', 'SWE')
INFO:root:Runs with args: ('AKK', '27', 'SWE')
INFO:root:Runs with args: ('John', '29', '098')
INFO:root:Runs with args: ('John', '29', '098')
INFO:root:Runs with args: ('WICK', '29', '098')
INFO:root:Runs with args: ('WICK', '29', '098')
